StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,age,gender,education,"languages, no duplicates","languages, no duplicates_4_TEXT",MM,MM-1,MM-2,MM-3,FM,FM-1,FM-2,FM-3,MF,MF-1,MF-2,MF-3,FF,FF-1,FF-2,FF-3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Introduction.
You are invited to participate in a research study on sentence structure with words from a different language. Procedures. You will be asked to read sentences and choose which sounds best. This survey will take approximately 5 minutes to complete.

Risks.
The potential risks of participating in this study are: breach of confidentiality - i.e., establishing the respondent's identity. However, no personally identifiable or sensitive information, such as name, email address, exact address, or telephone number, is collected or stored.

Benefits.
The anticipated benefits from this study are a better understanding of the cognitive mechanisms of multilingual speakers.
Compensation. No tangible compensation will be given. A copy of the research results will be available after the study in open-access journals and as a data set on GitHub.

Confidentiality & Privacy.
Any information that is obtained during this study will be kept confidential to the extent permitted by the law. All efforts, within reason, will be made to keep your personal information in your research record confidential, but total confidentiality cannot be guaranteed. The response data will be stored in an aggregate form on a computer without internet access. Only those who have completed the necessary training on data handling (CITI) and approved by the principal investigator will have access to the data. The published data will be in aggregate form with no personally identifiable information present.

Voluntary Nature of the Study.
Participation in this study is strictly voluntary, and if agreement to participation is given, it can be withdrawn at any time without prejudice.

Points of Contact.
It is understood that should any questions or comments arise regarding this project or a research-related injury be received, the Principal Investigator, Dr. Valentina Apressyan, valentina.apressyan@nu.edu.kz, should be contacted. Any other questions or concerns may be addressed to the Nazarbayev University Institutional Research Ethics Committee, resethics@nu.edu.kz.

Statement of Consent.
By clicking “I agree” below you are indicating that you are at least 18 years old, have read and understood this consent form, and agree to participate in this research study.",How old are you?,What is your gender?,What is your education level?,What language(s) do you speak? - Selected Choice,What language(s) do you speak? - Other - Text,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?,Which option among the three below is the most natural to you?
4/3/25 9:06,4/3/25 9:08,0,87.255.216.73,100,129,1,4/3/25 9:08,R_2Ejc9V1Y8X0De5n,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3,4",Korean language ,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,3
4/3/25 9:07,4/3/25 9:10,0,178.91.253.86,100,166,1,4/3/25 9:10,R_97NizXnWWiBdKFn,,,,,51.1876,71.4491,anonymous,EN,1,1,2,2,"1,2,3",,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1
4/3/25 9:08,4/3/25 9:10,0,185.48.148.186,100,93,1,4/3/25 9:10,R_4PLIBJ23u15KehG,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3,4",,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2
4/3/25 9:09,4/3/25 9:11,0,185.48.148.172,100,68,1,4/3/25 9:11,R_9D69HjoYCZjPWww,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,3,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2
4/3/25 9:09,4/3/25 9:12,0,95.59.94.244,100,149,1,4/3/25 9:12,R_8d2m71A4aa4b25H,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3,4",,1,1,1,1,2,1,2,2,2,2,3,3,2,2,2,2
4/3/25 9:13,4/3/25 9:16,0,87.255.216.86,100,143,1,4/3/25 9:16,R_9IQsTjJc6BLGlls,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,1,1,1,1,2,1,2,1,2,2,2,3,2,2,2,2
4/3/25 9:13,4/3/25 9:16,0,87.255.216.86,100,148,1,4/3/25 9:16,R_9f0Q8BkhXG3NF9g,,,,,51.1876,71.4491,anonymous,EN,1,1,2,3,"1,2,3",,3,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2
4/3/25 9:13,4/3/25 9:17,0,185.48.148.188,100,216,1,4/3/25 9:17,R_2w0UjkwCtWWXyKt,,,,,51.1876,71.4491,anonymous,EN,1,1,2,2,"1,2,3",,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2
4/3/25 9:17,4/3/25 9:19,0,178.89.148.128,100,122,1,4/3/25 9:19,R_8sS5P1U6Z5ELJG9,,,,,51.1876,71.4491,anonymous,EN,1,1,2,2,"1,2,3,4",,1,1,1,1,2,1,2,3,1,1,1,1,2,2,2,2
4/3/25 9:21,4/3/25 9:23,0,95.82.71.46,100,111,1,4/3/25 9:23,R_7q9elGC6M8rdmEp,,,,,51.1876,71.4491,anonymous,EN,1,1,2,3,"1,2,3,4","Spanish, Korean & French",3,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2
4/3/25 9:27,4/3/25 9:30,0,2.75.235.159,100,148,1,4/3/25 9:30,R_2NrgqNS8gErvGrZ,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
4/3/25 9:46,4/3/25 9:47,0,95.82.67.74,100,80,1,4/3/25 9:47,R_3DD2QcOBnuNUTAJ,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,3,1,1,1,2,1,2,1,1,1,1,1,2,2,3,2
4/3/25 9:47,4/3/25 9:49,0,185.48.148.203,100,133,1,4/3/25 9:49,R_811J75gy9ioqi1i,,,,,51.1876,71.4491,anonymous,EN,1,1,1,2,"1,2,3",,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2
4/3/25 11:19,4/3/25 11:22,0,178.91.253.86,100,185,1,4/3/25 11:22,R_9QgYhnrHX8iupI6,,,,,51.1876,71.4491,anonymous,EN,1,1,1,2,"1,2,3",,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2
4/3/25 12:00,4/3/25 12:03,0,178.91.253.86,100,206,1,4/3/25 12:03,R_2KlrAXG8VMunjdQ,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,3,1,1,1,2,1,3,3,3,1,2,1,2,2,2,3
4/3/25 13:06,4/3/25 13:10,0,178.91.253.74,100,225,1,4/3/25 13:10,R_4lVz9uyZX3xp6Th,,,,,51.1876,71.4491,anonymous,EN,1,1,2,2,"1,2,3,4",Uzbek,1,1,1,1,3,1,2,1,1,1,1,1,2,2,2,2
4/3/25 13:18,4/3/25 13:21,0,146.0.60.78,100,129,1,4/3/25 13:21,R_8FaXxlsJPhyEY6J,,,,,49.7989,73.0994,anonymous,EN,1,1,2,3,"1,2,3,4",Uzbek,1,1,1,1,2,2,2,1,1,1,2,1,2,2,3,2
4/3/25 14:10,4/3/25 14:12,0,212.96.95.191,100,114,1,4/3/25 14:12,R_2erlAJMLV9J5OmJ,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3,4",Persian,3,1,3,3,3,1,3,3,1,1,3,1,1,2,2,1
4/3/25 11:01,4/3/25 15:24,0,178.22.175.82,100,15815,1,4/3/25 15:24,R_4pWzLdImw7jT0EO,,,,,43.25,76.9167,anonymous,EN,1,1,2,3,"1,2,3,4",turkish,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2
4/3/25 21:42,4/3/25 21:45,0,185.48.148.184,100,152,1,4/3/25 21:45,R_42AnYsM5zr7ItG2,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2
4/3/25 21:43,4/3/25 21:46,0,87.255.216.84,100,150,1,4/3/25 21:46,R_6AEa8oClrewcBiU,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3,4","Turkish, Japanese",1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2
4/3/25 21:44,4/3/25 21:46,0,95.82.66.133,100,168,1,4/3/25 21:46,R_5Eb6u4bLtQZDZJX,,,,,51.1876,71.4491,anonymous,EN,1,2,2,3,"1,2,3,4","Turkish, Spanish",1,1,1,1,1,1,3,2,1,1,1,3,2,2,2,2
4/3/25 21:44,4/3/25 21:48,0,2.75.140.177,100,196,1,4/3/25 21:48,R_3jx22a0QueUdT8w,,,,,51.1876,71.4491,anonymous,EN,1,1,1,2,"1,2,3,4",,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
4/3/25 21:47,4/3/25 21:49,0,87.255.216.86,100,91,1,4/3/25 21:49,R_4A0TROmTXzzvz2w,,,,,51.1876,71.4491,anonymous,EN,1,1,2,3,"1,2,3",,1,1,1,1,1,1,3,2,1,1,1,1,1,3,3,3
4/3/25 21:47,4/3/25 21:49,0,109.239.43.17,100,130,1,4/3/25 21:49,R_5uHQu3fwcUW91HU,,,,,51.1876,71.4491,anonymous,EN,1,2,1,3,"1,2,3",,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2
4/3/25 21:48,4/3/25 21:57,0,178.88.157.111,100,549,1,4/3/25 21:57,R_3rjjgu6YMBPZfjj,,,,,51.1876,71.4491,anonymous,EN,1,1,2,3,"1,2,3",,1,1,1,1,2,1,2,2,1,1,1,1,2,3,1,1
4/3/25 22:05,4/3/25 22:07,0,178.91.253.85,100,108,1,4/3/25 22:07,R_9yfPEXh0AzmSODW,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"2,3,4",German,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
4/3/25 22:06,4/3/25 22:08,0,87.255.216.74,100,115,1,4/3/25 22:08,R_9dyJdcq67wKDOdb,,,,,51.1876,71.4491,anonymous,EN,1,1,1,3,"1,2,3",,3,1,1,3,2,2,2,2,1,3,3,1,2,2,2,2
4/3/25 22:08,4/3/25 22:10,0,89.42.62.17,100,120,1,4/3/25 22:10,R_7qgMmOoMbK60jZv,,,,,49.7989,73.0994,anonymous,EN,1,1,1,3,"1,2,3",,1,1,1,1,1,1,2,1,2,2,1,1,1,3,2,1
4/3/25 22:08,4/3/25 22:10,0,95.82.66.12,100,96,1,4/3/25 22:10,R_3f1eJn75L8jnwBa,,,,,51.1876,71.4491,anonymous,EN,1,1,2,3,"1,2,3",,1,1,1,1,3,1,2,2,2,1,1,1,2,2,2,2
4/3/25 22:06,4/3/25 22:11,0,87.255.216.75,100,267,1,4/3/25 22:11,R_9iwGncIU3Ujy7ll,,,,,51.1876,71.4491,anonymous,EN,1,1,1,2,"1,2,3",,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2
